あなたは今の仕事に{{c1::心を打ち込ん::熱心}}でいるだろうか,心を打ち込む,日語句型
こ子供の「ありがとう」の一言が私の{{c1::心を打った::感動；打動}},心を打つ,日語句型
二人は窓ガラス{{c1::越しに::隔著}}見つめあった,ごし（に）,日語句型
あなた{{c1::こそ::只有}}社長にふさわしい,こそ,日語句型
株は程度の差{{c1::こそあれ::只有．．．絕不}}、リスクは付き物だ,こそ,日語句型
今日は早く寝て明日に備える{{c1::こと::最好}},こと,日語句型
京都へ行った{{c1::ことがある::有時，經常}},ことがある,日語句型
彼はたったまま寝る{{c1::ことができる::能，可以}},ことができる,日語句型
この小説は発売後売れ行きが良い{{c1::ことから::有此．．．}}、来月増刷が決まった,ことから,日語句型
今日は早く寝て明日に備える{{c1::こと::最好}},こと,日語句型
なんと綺麗な{{c1::こと::啊！}},こと,日語句型
京都へ行った{{c1::ことがある::有時，經常}},ことがある,日語句型
彼はたったまま寝る{{c1::ことができる::能，可以}},ことができる,日語句型
この小説は発売後売れ行きが良い{{c1::ことから::有此．．．}}、来月増刷が決まった,ことから,日語句型
一度失敗しても気にしない{{c1::ことだ::應該，最好}},ことだ,日語句型
慣れね土地での生活で、ずいぶんご苦労も多い{{c1::ことと思います::想必．．．}},ことと思う,日語句型
慣れない{{c1::こととて::因為．．．所以．．．}}、始めはどうして良いものかわからなかった,こととて,日語句型
彼は怒る{{c1::ことなく::不．．．}}、冷静な態度で応対した,ことなく,日語句型
医師に相談する{{c1::ことなしに::沒有．．．}}、勝手に薬の服用をやめてはいけない,ことなしに,日語句型
嬉しい{{c1::ことに::令人．．．．的是．．．．}}、給料が上がった,ことに,日語句型
日{{c1::ごとに::每．．．}}寒くなってきた,ごとに,日語句型
食事の後は、必ず歯を磨く{{c1::ことにしている::一直，總是}},ことにしている,日語句型
転職する{{c1::ことにする::決定，決心．．．}},ことにする,日語句型
今回のツアーは人数不足のため、中止という{{c1::ことになった::表示事物之間的發展趨勢，結果，客觀的決定}},ことになった,日語句型
両親が日本人なら、日本語を話せなくても国籍は日本国という{{c1::ことになる::將會．．．；要；該．．．．}},ことになる,日語句型
我がチームの優勝が、{{c1::ことにすると::也許．．．會．．．．}}あるかもしれない,ことによると,日語句型
読む{{c1::ことは。。。ても::雖然．．．可是．．．}}読め…、意味が分からなければなんの役にも立たない,ことは。。。ても,日語句型
わざわざ君が行く{{c1::ことはない::不必．．．．}},ことはない,日語句型
{{c1::この上。。。ない::再也沒有．．．}}何もいうことは…,この上。。。ない,日語句型
結婚できて、{{c1::この上もない::無比．．．}}幸せだ,この上もない,日語句型
{{c1::これだけ::這麼．．．那麼．．．}}感情の激しい人も珍しい,これだけ,日語句型
{{c1::これほどまでに::這麼．．．那麼．．．}}言っても、親の気持ちがわからんのか,これほどまでに,日語句型
あの人に捕まったら{{c1::。。。最後::一旦．．．就．．．}}、おそらく２時間は自慢話を聞かれるだろう,最後。。。,日語句型
会議は午後３時からという{{c1::ことになっている::按規定；按計畫}},ことになっている,日語句型